Country,Store,Category,AvgRental,Product 1 quantity (kg),Product 1 price,Product 2 quantity (kg),Product 2 price,Product 3 quantity (kg),Product 3 price,Product 1 quantity (kg),Product 1 price,Product 2 quantity (kg),Product 2 price,Product 3 quantity (kg),Product 3 price,Product 1 quantity (kg),Product 1 price,Product 2 quantity (kg),Product 2 price,Product 3 quantity (kg),Product 3 price,Product 1 quantity (kg),Product 1 price,Product 2 quantity (kg),Product 2 price,Product 3 quantity (kg),Product 3 price,Product 1 quantity (kg),Product 1 price,Product 2 quantity (kg),Product 2 price,Product 3 quantity (kg),Product 3 price,Product 1 quantity (kg),Product 1 price,Product 2 quantity (kg),Product 2 price,Product 3 quantity (kg),Product 3 price,Product 1 quantity (liters),Product 1 price,Product 2 quantity (liters),Product 2 price,Product 3 quantity (liters),Product 3 price,Product 1 quantity (kg),Product 1 price,Product 2 quantity (kg),Product 2 price,Product 3 quantity (kg),Product 3 price,Product 1 quantity (count),Product 1 price,Product 2 quantity (count),Product 2 price,Product 3 quantity (count),Product 3 price,Product 1 quantity (kg),Product 1 price,Product 2 quantity (kg),Product 2 price,Product 3 quantity (kg),Product 3 price
Germany,EDEKA,Mid-range,900,1,2.93,2,3.22,1,1.75,1,1.73,1,1.73,,,0.4,1.95,0.5,2.24,1,2.84,2,0.96,2,1.05,2,1.93,1,1.75,1,1.26,1,1.56,0.25,1.95,0.5,2.83,1,4.89,1,1.46,1,1.05,1,1.25,0.25,2.15,0.25,2.14,0.25,2.1,6,3.79,6,1.75,4,1.99,0.312,3.97,0.6,3.87,0.4,2.9
Germany,EDEKA,Mid-range,850,1,1.95,1,2.93,0.8,2.93,1,1.73,1,1.11,1,1.73,1,2.84,0.5,2.44,0.5,2.42,1.5,1.63,1.5,1.63,0.65,1.95,1,0.97,0.5,0.67,1,1.75,0.5,2.44,0.25,1.63,0.3,2.93,1,0.76,1,1.46,1,1.56,0.25,1.8,0.25,2.31,0.25,1.56,6,2.93,6,2.73,10,1.63,0.394,5.02,0.43,7.17,0.311,9.12
Germany,EDEKA,Mid-range,1000,1,2.93,1,1.25,2,3.42,1,2.35,1,1.46,,,0.5,0.96,0.3,2.93,0.25,2.93,2,1.46,2,2.93,1,1.95,1,0.95,1,0.38,1,1.46,1,5.19,1,1.93,1,4.31,1,0.76,1,1.76,1,1.23,0.25,2.76,0.25,1.36,0.25,2.93,10,2.44,10,3.23,10,1.25,0.6,3.88,0.4,2.91,,
Germany,Alnatura,Luxury (expensive),1000,1,3.99,1,3.99,1,3.99,1,2.29,,,,,0.1,0.79,1,5.99,0.1,0.99,1,2.49,2,4.99,2,5.99,1,1.49,1,0.95,1,1.49,1,3.99,1,5.99,1,7.69,1,1.49,1,1.29,1,1.15,0.25,2.99,0.25,2.49,0.25,2.59,10,4.29,10,1.99,1,0.45,1,32.9,,,,
Germany,EDEKA,Budget (cheap),895,1,2.93,1,2.93,1,2.93,1,1.73,1,1.11,0.25,0.97,0.4,2.44,0.5,2.42,0.4,1.95,2.5,1.95,1,1.95,7.5,2.93,1,0.37,1,0.76,1,0.86,0.5,2.44,0.25,1.63,0.25,0.96,1,0.71,,,,,0.25,2.1,0.4,2.22,0.25,2.22,6,2.93,6,2.44,10,2.34,0.6,3.87,0.392,4.99,0.333,3.26
UK,Sainsbury,Mid-range,781,0.125,1.2,0.125,1.2,0.14,2.1,1,73,0.45,0.8,0.5,1.1,1,6.8,1,6,1,1.88,1,0.39,1,0.87,1,1,1,1.33,1,1.3,1,2,1,1.9,1,4,1,5.3,1,1.15,1,1.1,1,1.14,1,2.5,1,2,1,2.1,1,0.17,1,0.29,1,0.26,1,5.93,1,5,1,8.2
UK,Tesco,Budget (cheap),781,1,4.05,1,3.5,,,1,0.95,,,,,1,7.96,1,8.5,1,2.09,1,1.15,1,2.5,1,2,1,1.37,1,3.7,,,,,,,,,1,0.5,1,0.95,1,0.74,1,6.2,1,8,1,8.4,1,0.31,1,0.2,1,0.43,1,6.13,1,7,1,8.13
Germany,REWE,Luxury (expensive),1002,1,2.93,1,3.33,1,2.44,1,1.95,1,0.96,1,1.46,1,2.42,0.3,2.64,0.2,2.44,3,1.25,1,2.25,0.65,2.44,1,2.29,1,0.78,1,1.19,0.5,3.99,0.25,1.63,0.5,2.84,1,1.09,1,1.07,,,0.25,2.14,0.25,1.99,0.25,1.46,6,2.25,6,2.89,4,1.07,0.4,4.49,,,,
UK,Tesco,Budget (cheap),1300,0.676,1.6,0.6,0.79,1,5,0.9,0.64,1,0.73,0.9,0.69,1,1.7,1,2.09,1,2.89,2.5,1.19,1.75,2,2.5,1.75,1.5,1.9,1.2,1.3,1.4,0.5,10,11,0.25,0.4,1,1.2,2,1.21,2.272,1.1,1.13,0.8,0.25,1.5,0.5,2.75,0.25,1.75,12,2.65,12,2.25,6,1.9,0.95,5,0.5,3.05,1.6,8.5
UK,Tesco,Budget (cheap),1300,0.11,0.284,0.133,0.6,1,4.03,0.118,0.25,0.118,0.28,,,1,2.09,1,3.08,1,2.84,1,0.56,1,1.14,0.17,0.113,1,1.37,,,,,1,1.75,,,,,1,0.749,1,1.03,,,1,6.2,1,6.8,1,6.2,1,0.15,1,0.2,1,0.434,1,8.13,1,7,1,6.13
